"File last modified";"fileLastModified";"fileInfo/fileLastModified"
"File name";"fileName";"fileInfo/fileName"
"File path";"filePath";"fileInfo/filePath"
"File size";"fileSizeInBytes";"fileInfo/fileSizeInBytes"
"Image width";"ImageWidth";"jp2HeaderBox/imageHeaderBox/width"
"Image height";"ImageHeight";"jp2HeaderBox/imageHeaderBox/heigth"
"Color depth";"colorDepth";"contiguousCodestreamBox/siz/ssizDepth"
"Number of channels";"numOfChannels";"jp2HeaderBox/imageHeaderBox/nC"
"Color space";"colorSpace";"properties/jp2HeaderBox/colourSpecificationBox/enumCS"
"Resolution vertical";"vResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/vResdInPixelsPerInch"
"Resolution horizontal";"hResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/hResdInPixelsPerInch"
"Display resolution horizontal";"hDisplayResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/hResdInPixelsPerInch"
"Display resolution vertical";"vDisplayResolutionInPixelsPerInch";"jp2HeaderBox/resolutionBox/displayResolutionBox/vResdInPixelsPerInch"
"Validation (well formed and valid)";"wellFormedAndValid";"isValidJP2"
"Type of format";"imageFormat";"properties/jp2HeaderBox/imageHeaderBox/c"
"Universal unique identifier (UUID)";"uuid";"properties/uuidBox/uuid"
"Commentary";"commentary";"contiguousCodestreamBox/com/comment"
"Number of tiles";"numberOfTiles";"contiguousCodestreamBox/siz/numberOfTiles"
"Transformation";"transformation";"contiguousCodestreamBox/cod/transformation"
"Compression";"compression";"contiguousCodestreamBox/cod/transformation"
"Compression ratio";"compressionRatio";"properties/compressionRatio"
"Number of decomposition levels";"numOfDecompositionLevels";"contiguousCodestreamBox/cod/levels"
"Number of quality layers";"numOfQualityLayers";"contiguousCodestreamBox/cod/layers"
"Progression order";"progressionOrder";"contiguousCodestreamBox/cod/order"
"Code block width";"codeBlockWidth";"contiguousCodestreamBox/cod/codeBlockWidth"
"Code block height";"codeBlockWidth";"contiguousCodestreamBox/cod/codeBlockHeight"
"Coding bypass";"codingBypass";"contiguousCodestreamBox/cod/codingBypass"
"Start of packet header";"sop";"contiguousCodestreamBox/cod/sop"
"End of packet header";"eph";"contiguousCodestreamBox/cod/eph"
"Precincts";"precints";"contiguousCodestreamBox/cod/precints"
